product_id,name,product_type,sku,price,min_price,max_price,qty,collection_id,collection,category,category_name,store_code,gender
95701,GLAMIRA Boucles D'oreilles Lotus,earring,Lotus,243.0,206.0,1822.0,1,5256,studs,602,Boucles d'oreilles,glfr,women
96803,GLAMIRA Collier Libelula,necklace,WSP-30,340.0,322.0,2690.0,1,5155,animals,601,Pendentifs avec colliers,glfr,women
106097,Alliance pour femme Charming View,wedding_ring,GWD-H14319001-W,661.0,264.0,5303.0,1,4090,twinset,689,Alliances pour femmes,glfr,women
102114,Bracelet pour enfant Posie,bracelet,KIDB-029,268.0,214.0,2040.0,1,5248,initial_&_name,58,Bijoux poignet,glfr,False
98107,Boucle d'oreille femme Perama,earring,DE-071,538.0,408.0,5153.0,1,5256,studs,602,Boucles d'oreilles,glfr,women
100101,Boucle d'oreille femme Madalina,earring,MADALINA,525.0,367.0,5677.0,1,5256,studs,602,Boucles d'oreilles,glfr,women
90732,Bague de fiançailles Nature,ring,RN4,899.0,494.0,7003.0,1,4620,tension,605,Bagues de fiançailles,glfr,women
90885,Bague de fiançailles Bridal Element 0.16 crt,ring,G100790-16,648.0,453.0,5347.0,1,5170,design_solitaire,605,Bagues de fiançailles,glfr,women
96126,Alliance pour femme Smart Charm 4 mm,wedding_ring,GWD-T120915-4W,647.0,188.0,6626.0,1,4090,twinset,689,Alliances pour femmes,glfr,women
101534,GLAMIRA Boucles D'oreilles Sadira 32 mm,earring,SADIRA-32M,862.0,456.0,6465.0,1,5160,hoops_&_huggies,602,Boucles d'oreilles,glfr,women
104777,Sense Beauty 10 mm,wedding_ring,GWD-N1011-10,2305.0,922.0,23245.0,1,164,simple,0,,glfr,False
97284,Wedding Ring Ornate Butterfly 5 mm,wedding_ring,GWD-V2500,2610.0,762.0,26396.0,1,4291,vintage,688,Wedding Rings,glus,False
96653,Bague de fiançailles Mabelle,ring,MABELLE,676.0,507.0,61928.0,1,4375,solitaire_pave,605,Bagues de fiançailles,glfr,women
97182,Bague de Mariage Ornate Heart 5 mm,wedding_ring,GWD-V1600,2010.0,586.0,21145.0,1,4291,vintage,688,Bagues de mariage,glfr,False
98344,Bague de fiançailles Giacinta,ring,Giacinta,850.0,595.0,9246.0,1,5170,design_solitaire,605,Bagues de fiançailles,glfr,women
104405,Pendentif pour femme Calasia,pendant,Calasia,286.0,200.0,33173.0,1,4378,fashion,601,Pendentifs avec colliers,glfr,women
110587,Collier pour femme Ailene,pendant,ailene,360.0,310.0,4884.0,1,4378,fashion,601,Pendentifs avec colliers,glfr,women
90569,Alliance pour homme Pretty Choice Basic,wedding_ring,DSC_3730-MEN,1256.0,565.0,9420.0,1,4396,memoire,690,Alliances pour hommes,glfr,men
90921,Engagement Ring Phillipa 0.16 crt,ring,RP016,874.0,646.0,7333.0,1,5170,design_solitaire,605,Engagement Rings,glus,women
105035,Alliance pour homme Golden Aura 5 mm,wedding_ring,GWD-N1018-5-M,651.0,260.0,6536.0,1,4090,twinset,690,Alliances pour hommes,glfr,men
102290,Boucle d'oreille femme Alvenas,earring,Alvenas,470.0,357.0,3993.0,1,5256,studs,602,Boucles d'oreilles,glfr,women
101273,Chaîne cheville femme Jennika,anklet,Jennika,1021.0,510.0,7795.0,1,,,752,Chaîne de cheville,glfr,women
89568,Collier pour femme Henna,necklace,P0008,220.0,194.0,3517.0,1,4377,halo,601,Pendentifs avec colliers,glfr,women
92833,Bague pour hommes Classic Choice 9 mm,wedding_ring,GWD12880,1290.0,348.0,14249.0,1,159,classic,0,,glfr,men
103167,Bague de fiançailles Naidene,ring,naidene,565.0,423.0,109740.0,1,5170,design_solitaire,605,Bagues de fiançailles,glfr,women
